Indicateur,Modèle,R²
pH eau,SNV - RF - Full,0.9276140473743892
ADN total,MSC_SG1D - RF - PCA,0.9007543822608088
Humidité,Brut - RF - PCA,0.8676427698369268
CEC,MSC_SG2D - RF - PCA,0.8243710856854882
Limons.g.kg,Brut - RF - PCA,0.8168376804182077
Cal total,MSC_SG1D - RF - PCA,0.8044639977115047
PLFA_TOT,SNV - RF - Reduced,0.798109881143565
Sables.g.kg,MSC_SG1D - RF - PCA,0.7962567493935866
CELL,SNV - RF - Full,0.7771870367262494
C-MOV,MSC_SG1D - RF - PCA,0.7716888644949987
C/N,SNV - RF - Full,0.7670759810170913
PLFA_GRAM+_TOT,SNV - RF - Full,0.754122219035688
RESP C-CO2,SG_1D - PLS - Full,0.7481123657920858
PLFA_FONG_BACT,SNV_SG1D - RF - Full,0.7430743931918173
GALACTO,SNV - RF - Reduced,0.7307021153205174
ADN 16S,MSC_SG2D - RF - PCA,0.7271254303148158
PP,SNV - RF - Full,0.726957507856848
C org,SNV - RF - Full,0.68862792405576
MO,SNV - RF - Full,0.6706557606051087
N tot,MSC_SG2D - RF - PCA,0.6657987949610473
PLFA_BACT_TOT,SNV_SG2D - RF - Full,0.6582185070172151
OPRF,SG_1D - PLS - Full,0.6567014823864509
Argile.g.kg,MSC_SG2D - PLS - Reduced,0.6540381109891051
AWCD,SNV - RF - Full,0.6505940417046379
PLFA_ISO_ANTEISO,SNV_SG1D - PLS - Full,0.6423751748318292
N_MIN,MSC_SG1D - RF - Reduced,0.6224369083649037
RESP_SPE,SNV_SG1D - RF - Full,0.6136777428367897
B_GLUCO,Brut - RF - Full,0.6131991281604607
BIOMASSE,SNV - RF - Full,0.60382810545987
P_ALC,SNV - RF - Full,0.556293984805917
P_AC,SNV_SG1D - RF - Full,0.5521296474567845
LACCASE,SNV - RF - Reduced,0.5352127285793445
PLFA_FONG_TOT,SNV - RF - Full,0.529019697419197
ARYLS,SNV_SG2D - RF - Reduced,0.510415280761758
ARYLN,SNV - RF - Full,0.49235044031623154
PLFA_19_TOT,MSC_SG2D - RF - PCA,0.4580724932199086
PLFA_SAT_MONOINSAT,SNV - RF - Reduced,0.4397712395684783
P2O5,MSC_SG1D - RF - PCA,0.4374054024541002
Ergosterol total,MSC_SG1D - RF - PCA,0.39488559213205265
PLFA_GRAM-_TOT,SNV_SG1D - RF - Full,0.37493752246218603
XYL,SNV_SG2D - RF - Reduced,0.32764804021571325
UREASE,SNV - RF - Reduced,0.3215073647288933
DESHYDRO,Brut - RF - PCA,0.20409239799537626
LIP,SNV - PLS - Full,0.09591494362412956
ADN 18S,SG_1D - RF - PCA,-0.1609270241030203
FDA,SNV_SG2D - RF - PCA,-0.25830563197830414
Ergosterol libre,Brut - RF - PCA,-1.1335897447172423
NAG,SG_1D - PLS - PCA,-1.9052596522765932
